nokontrak;Merk;ModelName;Tipe;Tahun;Warna;cc;KodeDaerah;BalaiLelang;lokasi;Transmisi;kilometer1;kilometer2;SaleDate;saleprice;grade_overrall_csis;note_csis;Brand_Norm;Model_Norm;Transmission_Norm;Year;CC_Norm;Type_Norm;lelang_price;main_type_Norm;type_tags_Norm
1920700905001;SUZUKI;NEW CARRY;NEW CARRY 1.5 PU FD AC PS;2023;HITAM;1500;E;TRIBIK CIREBON;CIREBON;MANUAL;47257;30k-60k;2025-06-28;102000000;GOOD;tidak ada barang konsumen|unit ok;suzuki;carry;manual;2022;1.5;new pu fd ac ps;90000000;Pick Up;ac, flat deck, ps
1920700993001;TOYOTA;VELOZ;VELOZ 1.5 Q CVT (NON PREMIUM COLOR);2023;SILVER METALIK;1500;E;JBA CIREBON;CIREBON;AUTOMATIC;35569;30k-60k;2025-09-04;190000000;GOOD;tidak ada barang konsumen|ban belakang sebelah kiri ada benjolan, body kanan belakang penyok;toyota;veloz;automatic;2023;1.5;q cvt non premium color;214500000;Q;cvt
1920700994001;TOYOTA;CALYA;CALYA 1.2 E M/T;2023;HITAM;1197;E;TRIBIK CIREBON;CIREBON;MANUAL;174478;>100k;2025-06-13;95000000;VERY_GOOD;tidak ada barang pribadi|unit ok;toyota;calya;manual;2022;1.2;e m t;85500000;E;
1920701042001;DAIHATSU;ALL NEW AYLA;ALL NEW AYLA X 1.0 MT;2023;SILVER METALIK;1000;E;JBA CIREBON;CIREBON;MANUAL;31243;30k-60k;2026-01-06;90500000;GOOD;tidak ada barang konsumen|bemper depan kanan kiri lecet, atap depan sebelah kiri penyok;daihatsu;ayla;manual;2024;1;all new x;97500000;X;
1920701204001;TOYOTA;AVANZA;AVANZA 1.5 G M/T;2024;SILVER METALIK;1496;E;ALTO PALEMBANG;PALEMBANG;MANUAL;13176;<30k;2025-04-17;175000000;GOOD;perbedaan checklist buku manual dan accu tidak ada barang berharga terdapat apar plat tidak terpasang dibagian belakang|bemper depan kiri dan kanan penyok body lecet halus;toyota;avanza;manual;2023;1.5;g m t;147000000;G;
1920701228001;SUZUKI;NEW CARRY;NEW CARRY 1.5 PU FD;2024;HITAM;1500;E;TRIBIK CIREBON;CIREBON;MANUAL;17259;<30k;2025-11-14;90000000;GOOD;tidak ada barang konsumen|pelindung lampu belakang pecah;suzuki;carry;manual;2024;1.5;new pu fd;87000000;Pick Up;flat deck
1920701302001;SUZUKI;NEW XL-7;NEW XL-7 ZETA MT;2024;HITAM METALIK;1500;E;JBA CIREBON;CIREBON;MANUAL;16110;<30k;2025-12-16;170000000;VERY_GOOD;tidak ada barang konsumen|pijakan pintu belakang kiri lecet;suzuki;xl 7;manual;2024;1.5;new zeta;175000000;zeta;
1920701404001;DAIHATSU;NEW SIGRA;NEW SIGRA 1.0 D MT MC;2024;PUTIH;1000;E;TRIBIK CIREBON;CIREBON;MANUAL;13836;<30k;2025-09-24;88500000;GOOD;tidak ada barang konsumen|bemper kanan kiri depan lecet, bemper belakang kanan lecet;daihatsu;sigra;manual;2023;1;new d mc;87000000;D;
1925000051001;TOYOTA;CALYA;CALYA 1.2 E M/T;2025;ABU ABU METALIK;1197;BM;ALTO PEKANBARU;PEKANBARU;MANUAL;5874;<30k;2025-08-28;121000000;VERY_GOOD;Unit baret halus (Body), Bemper belakang baret kasar|;toyota;calya;manual;2022;1.2;e m t;85500000;E;
1925700008001;DAIHATSU;SIGRA;SIGRA 1.2 R MT MC;2024;COKLAT METALIK;1200;BM;JBA PEKANBARU;PEKANBARU;MANUAL;13175;<30k;2025-05-08;115000000;GOOD;Talang air pintu kiri dan kanan tidak ada,  Mika lampu belakang kiri pecah,  Eksterior dan interior kotor,  Body baret halus. |;daihatsu;sigra;manual;2024;1.2;r mc;123000000;R;
1925700029001;SUZUKI;XL 7;XL - 7 ZETA MT;2024;SNOW WHITE;1500;BM;JBA PEKANBARU;PEKANBARU;MANUAL;12011;<30k;2025-06-03;199000000;VERY_GOOD;Pintu kanan depan dan belakang baret kasar dan penyok,  Body baret halus,  List bawah kiri baret kasar,  Nopol sementara BM 9200 XX. |;suzuki;xl 7;manual;2024;1.5;zeta;175000000;zeta;
1925700042001;SUZUKI;NEW CARRY;NEW CARRY 1.5 PU FD;2024;ABU ABU METALIK;1500;BM;ALTO PEKANBARU;PEKANBARU;MANUAL;8949;<30k;2025-09-01;88000000;GOOD;Bak baret kasar, Pintu kiri baret kasar, Body baret halus|;suzuki;carry;manual;2024;1.5;new pu fd;87000000;Pick Up;flat deck
1930700008001;DAIHATSU;SIGRA;SIGRA 1.2 R MT MC;2025;HITAM;1200;BM;JBA PEKANBARU;PEKANBARU;MANUAL;9772;<30k;2026-04-21;126000000;BAD;cover spion barer halus, AKI SOAK, plat belakang tidak ada|;daihatsu;sigra;manual;2024;1.2;r mc;123000000;R;
1930700023001;SUZUKI;NEW CARRY;NEW CARRY PU FD;2024;HITAM;1500;BM;ALTO PEKANBARU;PEKANBARU;MANUAL;10002;<30k;2025-11-13;95000000;GOOD;Mika lampu belakang kanan pecah,  Bak belakang penyok,  Unit baret halus,  Unit kotor. |;suzuki;carry;manual;2022;1.5;new pu fd;72000000;Pick Up;flat deck
1935000001001;HONDA;NEW BRIO;NEW BRIO SATYA E 1.2 M/T;2024;HITAM MUTIARA;1200;PY;IBID MAKASSAR;MAKASSAR;MANUAL;13708;<30k;2025-07-18;120000000;GOOD;TERDAPAT STNK, MESIN, ACCU, AC, KUNCI BAN, DONGKRAK, SEGITIGA PENGAMAN, KURSI, KARPET, TIDAK TERDAPAT BAN SEREP, TOOLKIT, BUKU KIR, DAN BUKU MANUAL. PLAT KENDARAAN HANYA ADA SATU|PLAT HANYA ADA SATU, POWER WINDOW KURSI PENUMPANG DEPAN RUSAK, TERDAPAT LECET LADA SPION SEBELAH KANAN DAN LECET GORES PADA BEBERAPA SISI MOBIL;honda;brio;manual;2018;1.2;new satya e m t;85000000;E;satya
